
2024/05/17 (17:37:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/17 (19:07:52) | ===> btop++ v.1.3.2
2024/05/17 (19:07:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/18 (01:41:34) | ===> btop++ v.1.3.2
2024/05/18 (01:41:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/18 (16:29:19) | ===> btop++ v.1.3.2
2024/05/18 (16:29:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/18 (18:59:42) | ===> btop++ v.1.3.2
2024/05/18 (18:59:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2023/10/24 (21:21:13) | ===> btop++ v.1.3.2
2023/10/24 (21:21:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2023/10/24 (21:21:39) | ===> btop++ v.1.3.2
2023/10/24 (21:21:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/19 (16:59:29) | ===> btop++ v.1.3.2
2024/05/19 (16:59:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/19 (18:34:45) | ===> btop++ v.1.3.2
2024/05/19 (18:34:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/19 (20:18:20) | ===> btop++ v.1.3.2
2024/05/19 (20:18:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/20 (14:50:40) | ===> btop++ v.1.3.2
2024/05/20 (14:50:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/20 (15:09:06) | ===> btop++ v.1.3.2
2024/05/20 (15:09:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/20 (20:03:02) | ===> btop++ v.1.3.2
2024/05/20 (20:03:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/21 (16:16:22) | ===> btop++ v.1.3.2
2024/05/21 (16:16:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/21 (16:16:54) | ===> btop++ v.1.3.2
2024/05/21 (16:16:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/21 (16:19:41) | ===> btop++ v.1.3.2
2024/05/21 (16:19:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/21 (16:30:43) | ===> btop++ v.1.3.2
2024/05/21 (16:30:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/21 (16:37:59) | ===> btop++ v.1.3.2
2024/05/21 (16:37:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/21 (19:37:56) | ===> btop++ v.1.3.2
2024/05/21 (19:37:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/21 (20:25:18) | ===> btop++ v.1.3.2
2024/05/21 (20:25:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/22 (15:16:15) | ===> btop++ v.1.3.2
2024/05/22 (15:16:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/22 (18:03:35) | ===> btop++ v.1.3.2
2024/05/22 (18:03:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/22 (19:06:33) | ===> btop++ v.1.3.2
2024/05/22 (19:06:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

